"topic","instruction","output"
"reembolso","A tela piscou e apagou depois do pagamento.","Evite repetir o processo. Registre a ocorrência com o suporte e envie os dados para reembolso."
"reembolso","O produto caiu fora da bandeja e não consegui pegar.","Informe ao suporte com uma foto ou vídeo, se possível. Casos assim são avaliados para compensação."
"reembolso","O visor mostrou 'erro na entrega' depois do pagamento.","Essa falha é registrada no sistema. Envie o comprovante para análise e reembolso."
"reembolso","Apareceu mensagem de erro, mas o valor foi descontado.","Se o débito foi feito, temos como rastrear e reembolsar. Mande o comprovante para o atendimento."
"reembolso","A máquina travou no meio da operação, perdi o produto.","Informe os dados ao suporte. Confirmando a falha, faremos o reembolso."
"reembolso","Toquei pra pagar e a máquina ficou congelada.","Se não houver entrega do produto e o pagamento foi feito, o reembolso é garantido mediante análise."
"reembolso","O sistema travou no QR Code e não voltou mais.","Essa falha pode causar cobrança sem entrega. Registre com o suporte e envie o comprovante."
"reembolso","O visor apagou após eu inserir o dinheiro.","Se o produto não foi liberado, envie os dados e valor inserido para reembolso via canal oficial."
"reembolso","Paguei, mas a máquina ficou reiniciando sem parar.","Evite novos pagamentos e entre em contato com o suporte com os dados da transação."
"reembolso","A máquina entregou outro sabor e eu não queria aquele.","Se a escolha foi correta e o produto entregue for diferente, o suporte pode avaliar reembolso ou crédito."
"reembolso","A máquina cobrou e não mostrou nenhuma mensagem depois.","Pode ter ocorrido falha na confirmação. Envie os dados ao suporte para verificação."
"reembolso","A tela travou no nome do produto e não saiu mais.","Reinicie o processo ou informe o erro com os dados da compra para possível reembolso."
"reembolso","O sistema aceitou o pagamento, mas não liberou nada.","Registre o ocorrido com horário, valor e comprovante. Vamos resolver via suporte."
"reembolso","Não consegui interagir com a máquina depois de pagar.","Esse erro pode ser causado por falha na interface. Envie o relato ao suporte para análise."
"reembolso","Tentei pagar duas vezes porque não caiu da primeira.","Se ambas as transações foram cobradas, uma delas será reembolsada após análise do suporte."
"reembolso","A máquina recusou o pagamento, mas meu banco descontou.","Esses casos devem ser avaliados com base no extrato bancário enviado ao suporte."
"reembolso","A tela apagou, mas meu cartão mostrou que foi cobrado.","Se o produto não foi entregue, envie o comprovante para análise e reembolso."
"reembolso","Recebi o refri, mas estava completamente amassado.","Envie uma foto com o registro da falha ao suporte. A avaliação pode gerar reembolso ou crédito."
"reembolso","O produto foi entregue sem gás ou com sabor alterado.","Nestes casos, é possível solicitar reembolso com foto e descrição do ocorrido."
"reembolso","A máquina não liberou troco e não entregou o produto.","Informe o valor pago e a falha. O suporte fará a análise para reembolso integral."
"reembolso","A operação travou logo depois da escolha do sabor.","Se houve cobrança, guarde o comprovante e envie ao suporte para análise."
"reembolso","Apareceu 'erro interno' e a compra foi encerrada.","Essa falha é registrada no sistema. Solicite reembolso com os dados do pagamento."
"reembolso","Se der algum problema, tem como recuperar o valor?","Sim. Qualquer falha técnica pode ser analisada para reembolso. Basta acionar nosso suporte com as informações da compra."
"reembolso","Vocês acompanham os erros das máquinas em tempo real?","Algumas falhas são detectadas automaticamente, mas relatos dos usuários são essenciais para correção e reembolso."
"reembolso","A devolução do dinheiro é garantida?","Se a falha for confirmada e o pagamento identificado, o reembolso é garantido conforme política de uso."
"reembolso","É seguro confiar no processo de reembolso de vocês?","Sim. Todas as solicitações são registradas e analisadas com base nos dados reais da máquina e do pagamento."
"reembolso","Se eu não tiver internet na hora, posso pedir reembolso depois?","Sim. Basta guardar o comprovante ou anotar o horário e local. Você pode solicitar o reembolso posteriormente pelo canal de suporte."
"reembolso","Reembolso demora muito pra cair?","O prazo médio é de até 7 dias úteis, mas pode ser mais rápido dependendo da forma de pagamento."
"reembolso","Vocês avisam quando o dinheiro for devolvido?","Sim. Enviamos confirmação por e-mail ou mensagem, informando que o reembolso foi concluído."
"reembolso","É normal ter que mandar foto ou comprovante?","Sim, isso ajuda na validação do seu pedido e torna o processo mais rápido e preciso."
"reembolso","O que acontece se eu informar os dados errados?","A solicitação pode ser rejeitada ou atrasada. Recomendamos atenção ao preencher o pedido."
"reembolso","Vocês registram todos os pedidos de reembolso?","Sim. Cada solicitação recebe um número de protocolo para acompanhamento."
"reembolso","Tem limite de tempo pra pedir reembolso depois da falha?","Recomendamos solicitar em até 7 dias corridos após a ocorrência para facilitar a análise."
"reembolso","Se eu pedir reembolso e depois o refri cair, ainda recebo?","Nesse caso, não. O reembolso só é aprovado se o produto não tiver sido entregue."
"reembolso","O crédito que recebo pode ser usado em qualquer máquina?","Sim, desde que o sistema seja compatível. O suporte informará os detalhes."
"reembolso","E se eu não souber o nome do refrigerante que pedi?","Não tem problema. O importante é informar o horário, local e forma de pagamento."
"reembolso","Vocês me avisam se o reembolso for negado?","Sim. Em caso de negativa, explicamos o motivo e orientamos sobre possíveis ações."
"reembolso","Reembolso pode cair em conta de outra pessoa?","Sim, desde que autorizado e com chave Pix informada corretamente no atendimento."
"reembolso","Esse processo de reembolso é feito por pessoas ou sistema?","As análises são feitas por nossa equipe com apoio de registros automáticos da máquina."
"reembolso","Se for falha da operadora do cartão, vocês ainda reembolsam?","Nesse caso, orientamos procurar a operadora do cartão. Só reembolsamos transações confirmadas no sistema da máquina."
"reembolso","Se o refri saiu mas ficou preso, ainda posso pedir reembolso?","Sim, nesses casos você pode enviar foto ou vídeo e explicar o ocorrido ao suporte."
"reembolso","E se alguém pegar meu refri antes de mim? Ainda tenho direito ao valor?","Infelizmente não. A responsabilidade pela retirada é do usuário após a liberação."
"contato","Como faço para falar com o suporte da máquina?","Você pode entrar em contato com nosso suporte por telefone, e-mail ou aplicativo. As informações estão disponíveis na própria máquina."
"contato","Tem algum número pra ligar caso algo dê errado?","Sim. O número do nosso suporte está fixado na lateral da máquina e também aparece na tela inicial."
"contato","Onde eu encontro o atendimento ao cliente?","Você pode acessar o atendimento pelo QR Code da tela, pelo nosso site ou pelo número indicado na máquina."
"contato","A quem eu recorro se a máquina travar?","Entre em contato com o suporte técnico. O telefone e os canais digitais estão disponíveis na etiqueta da máquina."
"contato","Existe um canal oficial de atendimento?","Sim. Trabalhamos com canais oficiais de e-mail, telefone e formulário online. Eles estão informados na própria máquina."
"contato","Vocês têm WhatsApp para suporte?","Algumas máquinas oferecem atendimento via WhatsApp. Verifique o QR Code ou instrução no visor."
"contato","Tem como abrir chamado pelo aplicativo?","Sim, caso você tenha o app da operadora da máquina instalado, é possível registrar solicitações por lá."
"contato","Como entro em contato se a máquina falhar?","Você pode usar os contatos exibidos na máquina: geralmente há telefone, e-mail e QR Code direto para suporte."
"contato","Qual é o e-mail de atendimento?","O e-mail de suporte está indicado na máquina. É normalmente algo como suporte@nomedafornecedora.com.br."
"contato","Tem atendimento 24 horas?","Sim. Nossos canais de atendimento estão disponíveis todos os dias, inclusive feriados."
"contato","O suporte técnico responde rápido?","Sim, nossa equipe de suporte responde em até 24 horas úteis após o contato."
"contato","Preciso estar perto da máquina pra pedir ajuda?","Não. Você pode anotar o número da máquina e entrar em contato de onde estiver."
"contato","Onde vejo o código da máquina pra informar no suporte?","O código está na lateral ou parte frontal da máquina, geralmente próximo ao visor."
"contato","Tem site oficial pra suporte?","Sim, o endereço do site está indicado na etiqueta da máquina ou na tela inicial."
"contato","O que eu preciso informar ao entrar em contato?","Informe o código da máquina, local, horário do problema e, se possível, foto do visor."
"contato","Como sei se minha solicitação foi recebida?","Você receberá uma confirmação automática por e-mail ou mensagem com um número de protocolo."
"contato","Vocês atendem por redes sociais também?","Não oficialmente. Para garantir retorno, use os canais indicados na máquina."
"contato","Preciso pagar algo pra falar com o suporte?","Não. O suporte técnico é totalmente gratuito para todos os usuários."
"contato","O atendimento é feito por pessoas ou robôs?","Nosso primeiro atendimento pode ser automatizado, mas temos equipe humana para casos específicos."
"contato","Consigo resolver tudo só pelo celular?","Sim, nossos canais foram pensados para funcionar totalmente online."
"contato","Posso ligar direto ou tem que agendar?","Você pode ligar diretamente para o número disponível. Não é necessário agendamento prévio."
"contato","Tem formulário de contato disponível online?","Sim, você encontra o formulário no site da fornecedora ou via QR Code na própria máquina."
"contato","Onde aparece o telefone de contato?","Na etiqueta externa da máquina, geralmente perto do visor ou do compartimento de retirada."
"contato","Tem como mandar mensagem pelo site?","Sim, o site oficial disponibiliza formulário para envio de dúvidas e problemas técnicos."
"contato","Como falo com o suporte sem ter o app?","Use o telefone, e-mail ou QR Code fornecido na máquina, sem necessidade de aplicativo."
"contato","Posso mandar vídeo do problema pro suporte?","Sim! Vídeos ou fotos ajudam muito na análise e aceleram o atendimento."
"contato","Se não responderem, posso tentar outro canal?","Sim. Recomendamos tentar outro canal (telefone, e-mail ou app) se não houver retorno em 24h úteis."
"contato","Consigo saber se o suporte vai enviar técnico?","Sim. Após análise, o suporte informa se será necessário envio de técnico ao local."
"contato","Tem alguém da empresa que cuida da máquina no local?","Geralmente a manutenção é feita por equipe técnica, acionada pelo suporte central."
"contato","Tem um canal só pra reembolso?","Sim. O mesmo canal de suporte técnico também atende pedidos de reembolso e falhas no pagamento."
"contato","Oi, como falo com alguém da empresa da máquina?","Olá! Você pode usar o telefone ou e-mail de suporte que estão colados na lateral da máquina ou na tela inicial."
"contato","Deu ruim aqui, tem algum número que eu possa ligar?","Sim! O número do suporte técnico está disponível na etiqueta da máquina. Pode ligar direto!"
"contato","Preciso falar com o atendimento urgente. Como faço?","Recomendamos ligar para o número indicado na máquina ou usar o QR Code para acesso rápido ao suporte."
"contato","Essa máquina tem WhatsApp?","Alguns modelos sim! Veja se há um QR Code na tela ou na estrutura da máquina com o ícone do WhatsApp."
"contato","Tem gente real respondendo ou só robô?","Nosso atendimento começa com assistente virtual, mas você pode falar com uma pessoa a qualquer momento."
"contato","Não consigo resolver pelo app. Tem outro jeito?","Claro! Você pode usar o telefone de suporte ou enviar um e-mail com as informações da compra."
"contato","O visor apagou. Com quem eu falo agora?","Use o telefone indicado na máquina ou envie uma mensagem pelos canais online. Estamos prontos pra ajudar."
"contato","Tem como resolver tudo só pelo celular?","Sim! Todos os nossos canais funcionam via celular: e-mail, WhatsApp, formulário e telefone."
"contato","Já tentei contato e nada. Posso mandar de novo?","Pode sim! Se não obteve resposta em até 24h úteis, reenvie sua mensagem ou tente outro canal."
"contato","Tô sem app instalado. Como falo com o suporte?","Sem problemas. O telefone e o e-mail de contato estão disponíveis diretamente na máquina."
"contato","Tem alguém pra atender agora ou só amanhã?","Nosso suporte funciona 24h, inclusive aos finais de semana. Pode entrar em contato quando quiser!"
"contato","O e-mail de vocês é fácil de achar?","Sim! Ele está impresso na etiqueta da máquina e geralmente também aparece na tela inicial."
"contato","A máquina faz barulho estranho. Chamo quem?","Ligue para o número do suporte técnico ou envie uma mensagem com vídeo do problema."
"contato","Posso resolver tudo sem sair de onde estou?","Sim. Você só precisa do código da máquina e dos canais de contato indicados no visor."
"contato","Tem site de vocês que eu possa acessar?","Tem sim! O endereço está na etiqueta da máquina e dá acesso ao formulário de suporte e reembolso."
"contato","Consigo mandar só uma mensagem e esperar?","Sim! Nosso sistema registra sua solicitação e responde assim que possível, normalmente em até 24h úteis."
"contato","Já falei uma vez, preciso repetir tudo de novo?","Se tiver o número do protocolo anterior, você pode continuar de onde parou com nosso time."
"contato","Moro longe da máquina. Ainda consigo atendimento?","Claro! Basta informar o código da máquina e descrever o problema para receber suporte à distância."
"contato","Preciso esperar alguém vir aqui?","Nem sempre. Muitas vezes conseguimos resolver à distância. Só em casos técnicos graves enviamos uma equipe."
"contato","Se for problema pequeno, preciso mesmo ligar?","Você pode enviar mensagem ou usar o formulário online. É simples e mais rápido do que parece!"
"contato","Liguei para o suporte, mas ninguém atendeu.","Tente novamente em alguns minutos ou envie uma mensagem por e-mail ou formulário online. Todos os canais são monitorados."
"contato","O e-mail de vocês voltou como erro. E agora?","Verifique se digitou corretamente o e-mail indicado na máquina. Se o erro persistir, tente outro canal como telefone ou formulário."
"contato","O QR Code da máquina não funciona.","Pode ser falha no link ou na câmera do dispositivo. Use o telefone de contato impresso na etiqueta da máquina."
"contato","Tentei contato, mas não recebi resposta.","Nosso prazo de resposta é de até 24h úteis. Se passar disso, envie uma nova mensagem ou tente outro canal."
"contato","Fiz o pedido de ajuda, mas não confirmaram o recebimento.","Verifique sua caixa de spam ou aguarde o retorno. Caso não receba confirmação, reenvie a solicitação."
"contato","A máquina não mostra telefone nenhum.","Pode ter ocorrido desgaste na etiqueta. Procure ajuda no site da fornecedora ou use o QR Code se disponível."
"contato","Não achei o código da máquina pra informar ao suporte.","O código costuma estar perto do visor ou do compartimento de retirada. Caso não encontre, informe o local exato da máquina."
"contato","Mandei mensagem pelo site, mas não recebi protocolo.","Alguns envios demoram para gerar retorno automático. Tente reenviar e verifique a caixa de entrada e spam."
"contato","Tentei WhatsApp, mas a conversa não abriu.","Pode ser um erro temporário no link. Recomendamos tentar o telefone fixo ou e-mail como alternativa."
"contato","O número da etiqueta está ilegível.","Se não conseguir identificá-lo, tire uma foto da máquina e envie ao suporte com o máximo de detalhes do local."
"contato","Mandei vídeo do problema e não tive retorno.","Verifique se o vídeo foi enviado corretamente e aguarde até 24h úteis. Reenvie se necessário."
"contato","O site de vocês está fora do ar.","Se o site estiver indisponível, use o e-mail ou telefone impresso na máquina para contato direto."
"contato","Quero ajuda mas não tenho acesso à internet.","Ligue para o número impresso na máquina. Nosso suporte também funciona por telefone."
"contato","Recebi uma resposta automática, mas nada foi resolvido.","Aguarde o atendimento completo ou responda à mensagem solicitando ajuda humana."
"contato","Falei com o suporte mas me passaram informação errada.","Pedimos desculpas. Reabra o chamado e informe que deseja revisão do atendimento."
"contato","Não sei qual canal devo usar primeiro.","Recomendamos começar pelo QR Code ou formulário online. Se for urgente, ligue diretamente para o número indicado."
"contato","Demora muito pra receber ajuda do suporte?","Normalmente respondemos em até 24h úteis. Casos urgentes são priorizados se informados como tal."
"contato","O protocolo que recebi não funciona no site.","Pode ser erro de digitação. Verifique novamente ou entre em contato pelo canal original usado."
"contato","Tentei registrar o problema pelo app e travou.","Use o site ou telefone como alternativa para garantir o registro da sua solicitação."
"contato","Recebi resposta incompleta do suporte.","Você pode responder diretamente pedindo mais informações ou reabrir o chamado pelo site."
"contato","Me pediram o comprovante e eu não tenho.","Explique a situação ao suporte. Em alguns casos é possível localizar a transação pelo sistema interno."
"contato","Falei com o suporte e prometeram retorno, mas não recebi.","Reenvie a solicitação mencionando o histórico anterior. Nossa equipe retomará o contato."
"contato","Já mandei tudo que pediram e ainda não resolveram.","Aguarde o prazo informado. Se não houver solução, reenvie o caso e peça reavaliação."
"contato","Todos os canais estão ocupados. E agora?","Recomendamos tentar em horários de menor pico ou deixar sua solicitação por e-mail."
"contato","O formulário não aceita meu número de protocolo.","Pode haver erro no sistema. Tente outro canal ou envie novamente pelo site principal."
"contato","Minha solicitação foi encerrada, mas o problema continua.","Você pode reabrir o atendimento pelo mesmo canal. Informe que o problema persiste."
"contato","Fiz o contato errado. Posso corrigir depois?","Sim. Basta reenviar com as informações corretas. O sistema considerará a versão mais atual."
"contato","Não sei com quem estou falando no suporte.","Nossa equipe de atendimento é treinada e cada contato é registrado. Você pode solicitar o nome do atendente."
"contato","Tô tentando ajuda faz dias e ninguém resolve.","Lamentamos o transtorno. Recomendamos escalar o chamado ou usar outro canal alternativo com o histórico."
"contato","Posso registrar reclamação se o suporte não resolver?","Sim. Você pode registrar sua insatisfação pelo mesmo canal ou, em último caso, pelos órgãos de defesa do consumidor."
"contato","Vocês têm uma equipe própria para essas máquinas?","Sim. Temos uma equipe técnica responsável pelo suporte, manutenção e atendimento ao cliente."
"contato","Se eu tiver um problema, alguém realmente responde?","Com certeza. Todos os contatos são registrados e respondidos por nossa equipe de atendimento."
"contato","O suporte funciona mesmo fora do horário comercial?","Sim! Nosso atendimento é 24h por dia, incluindo finais de semana e feriados."
"contato","Preciso esperar muito pra ser atendido?","Normalmente respondemos em até 24 horas úteis, mas casos urgentes podem ser priorizados."
"contato","Se for um problema simples, o suporte consegue resolver rápido?","Sim, muitos casos são resolvidos no primeiro contato, especialmente por mensagem ou ligação."
"contato","As máquinas avisam vocês quando dão erro?","Alguns erros são reportados automaticamente, mas o contato do usuário acelera muito o processo."
"contato","Se eu esquecer de anotar o número da máquina, tem solução?","Sim. Envie a localização e uma descrição da máquina. Isso ajuda nossa equipe a identificar o equipamento."
"contato","Vocês respondem por e-mail ou só por telefone?","Respondemos por ambos. Você escolhe o canal que for mais conveniente."
"contato","Quem faz a manutenção das máquinas?","A manutenção é feita por técnicos autorizados da empresa responsável pelo equipamento."
"contato","O suporte também cuida de reembolso?","Sim! Nosso suporte técnico é integrado ao setor financeiro e pode encaminhar sua solicitação de reembolso."
"contato","Se eu quiser só dar uma sugestão, posso usar o mesmo canal?","Sim. Nossos canais de atendimento também recebem sugestões e elogios dos usuários."
"contato","Tem como acompanhar o andamento do atendimento?","Sim. Você recebe um protocolo e pode acompanhar a evolução por e-mail ou telefone."
"contato","Vocês conseguem me avisar quando a máquina for consertada?","Sim, se solicitado. Podemos registrar seu contato e enviar aviso quando o serviço for concluído."
"contato","Se eu estiver nervoso, o suporte ainda ajuda?","Claro. Estamos preparados para atender com empatia e resolver o problema da melhor forma possível."
"contato","É comum muita gente usar o suporte?","A maioria das operações acontece sem erro, mas sempre que necessário o suporte está disponível para ajudar."
"contato","O suporte é nacional ou local?","O atendimento é centralizado, mas com cobertura em todo o território nacional."
"contato","Consigo saber quem é o fabricante da máquina?","Sim. As informações do fabricante estão na estrutura da máquina e são fornecidas também pelo suporte."
"contato","Se eu não souber explicar bem, o suporte entende mesmo assim?","Sim. Nossa equipe está treinada para interpretar relatos simples e orientar passo a passo."
"contato","Vocês guardam os registros de atendimento?","Sim. Todos os contatos são registrados com data e hora para garantir o histórico e a transparência."
"contato","Tem como resolver tudo só mandando mensagem?","Sim! Você pode resolver sua situação completa por mensagem, sem necessidade de ligação ou presencial."
"promoções","A máquina tem alguma promoção ativa?","Sim! Algumas unidades oferecem descontos em horários específicos ou brindes em compras múltiplas. Verifique no visor da máquina."
"promoções","Como eu sei se tem brinde hoje?","Quando houver promoção ativa, ela será informada na tela inicial ou em adesivos visíveis na máquina."
"promoções","Tem desconto se eu comprar dois refrigerantes?","Sim! Em alguns modelos, ao selecionar dois produtos consecutivos, o segundo sai com desconto. Verifique no visor antes de pagar."
"promoções","Apareceu um combo na tela. Como funciona?","Combos permitem comprar dois ou mais produtos juntos com valor reduzido. Siga as instruções da tela para confirmar a promoção."
"promoções","Existe algum tipo de fidelidade ou recompensa?","Algumas máquinas oferecem sistema de pontos ou QR Code para cadastro. Verifique na interface se essa função está habilitada."
"promoções","Tem dias em que o refrigerante sai mais barato?","Sim. Em datas promocionais ou horários de menor movimento, aplicamos descontos automaticamente."
"promoções","Posso ganhar algo comprando mais de uma vez?","Sim, em campanhas específicas você pode ganhar brindes ou créditos extras. Consulte a tela da máquina."
"promoções","Como funcionam os cupons de desconto?","Se você tiver um código promocional, insira na opção 'Cupom' na tela antes de pagar."
"promoções","Essas promoções mudam todo dia?","Elas variam de acordo com o local, horário e campanhas vigentes. Sempre confira na tela da máquina."
"promoções","Apareceu uma mensagem de sorteio. É sério?","Sim! Algumas máquinas participam de sorteios semanais. As regras aparecem na tela durante a promoção."
"promoções","Tem alguma promoção pra quem paga com Pix?","Sim! Algumas máquinas oferecem desconto de R$0,50 em compras via Pix. Verifique na tela."
"promoções","Consigo saber antes de pagar se tem promoção?","Sim. O visor mostra todas as promoções ativas antes da etapa de pagamento."
"promoções","Dá pra ganhar crédito pra próxima compra?","Sim, em algumas promoções, parte do valor pode virar crédito. Veja os detalhes na hora da compra."
"promoções","A máquina participa de alguma campanha especial?","Sim! Em datas como Black Friday ou Dia do Cliente, podem aparecer ofertas especiais no visor."
"promoções","Tem refrigerante em dobro hoje?","Se houver essa promoção, será informado claramente na tela inicial ou ao selecionar o produto."
"promoções","Essas promoções são só pra quem tem app?","Não necessariamente. Algumas são automáticas, outras exigem cadastro ou uso de cupom digital."
"promoções","Vi um adesivo de promoção, como valido?","Toque na opção de promoções na tela inicial e siga as instruções. Pode ser necessário digitar um código."
"promoções","Dá pra acumular promoção com desconto no Pix?","Depende da campanha. Se for permitido, a máquina aplicará os dois automaticamente."
"promoções","As promoções são iguais em todas as máquinas?","Não. Elas variam conforme local, fornecedor e horário. Consulte a máquina específica."
"promoções","Tem promoção pra quem compra todo dia?","Algumas máquinas oferecem vantagens para compras frequentes. Verifique se há opção de cadastro ou cartão fidelidade."
"promoções","Posso escolher o brinde?","Não. Os brindes são definidos conforme campanha e estoque, mas sempre serão entregues junto com o produto."
"promoções","Apareceu um QR Code com promoção, o que faço?","Escaneie com o celular e siga as instruções. Pode ser cupom, sorteio ou programa de pontos."
"promoções","Essas promoções têm prazo de validade?","Sim. Toda promoção tem data de início e fim. Verifique os detalhes na tela ou no adesivo informativo."
"promoções","Como saber se ganhei algo na promoção?","A tela da máquina informará automaticamente se você foi premiado após a compra."
"promoções","As promoções aparecem sempre que tem?","Sim. Quando ativas, elas são exibidas no visor logo ao iniciar o uso da máquina."
"promoções","Posso participar de promoções com qualquer pagamento?","Geralmente sim, mas algumas promoções são exclusivas para Pix ou cartão. Verifique na tela."
"promoções","A promoção some se eu demorar pra pagar?","Sim. Algumas ofertas são temporárias e expiram após alguns segundos sem confirmação."
"promoções","Tem como ativar notificação de promoção?","Alguns apps parceiros permitem isso. Verifique se a máquina oferece suporte ao app indicado."
"promoções","A promoção apareceu e depois sumiu. Por quê?","Pode ter expirado ou atingido o limite de brindes do dia. Verifique novamente mais tarde."
"promoções","Preciso cadastrar meu CPF pra participar das promoções?","Na maioria dos casos, não é necessário. Apenas em sorteios ou programas de pontos com regras específicas."
"promoções","Tem alguma promoção rolando agora?","Tem sim! Dá uma olhadinha na tela da máquina — se tiver algo ativo, vai aparecer logo no começo."
"promoções","Vi um anúncio de refri em dobro, ainda tá valendo?","Se a promoção estiver ativa, ela aparece no visor logo que você inicia a compra."
"promoções","Tô pensando em levar dois refrigerantes. Tem desconto?","Pode ter sim! Algumas máquinas dão desconto no segundo item. Veja se aparece algo na tela antes de pagar."
"promoções","Tem brinde se eu comprar hoje?","Se houver brinde disponível, a máquina avisa na hora da compra. Fica de olho na tela!"
"promoções","Essas máquinas dão prêmio mesmo ou é só marketing?","É verdade! Se você ganhar, a própria máquina te avisa e mostra como resgatar."
"promoções","Pix tem promoção especial ou é igual cartão?","Algumas campanhas dão desconto pra quem paga com Pix. A tela vai te avisar se for o caso."
"promoções","Vi um QR Code piscando na tela. É promoção?","Provavelmente sim! Escaneia com o celular e vê se tem cupom ou sorteio disponível."
"promoções","Tem algum combo com refri + snack?","Algumas máquinas oferecem sim. Quando tiver, vai aparecer na hora da seleção com preço especial."
"promoções","Como eu uso cupom de desconto aqui?","Escolha seu produto e veja se tem a opção 'Inserir Cupom'. Aí é só digitar o código!"
"promoções","Essas promoções mudam muito?","Sim! Tem promoção que é só por horário, dia ou até limite de brindes. Melhor sempre conferir antes de pagar."
"promoções","Tem brinde hoje ou só desconto mesmo?","Depende da campanha ativa. A tela sempre mostra se tem brinde, desconto ou outra vantagem."
"promoções","Já ganhei um refrigerante de graça aqui!","Legal! Algumas máquinas fazem sorteios aleatórios. Pode ser que aconteça de novo!"
"promoções","Se eu usar cupom, ainda posso pagar com Pix?","Claro! O cupom aplica o desconto antes do pagamento. Depois é só escolher Pix normalmente."
"promoções","Essas promoções são só pras máquinas novas?","Não necessariamente. A maioria das máquinas modernas já aceita promoções direto no visor."
"promoções","Vi gente ganhando crédito pra próxima compra. Acontece mesmo?","Sim, é uma campanha real. O crédito aparece como opção após a compra se for válido."
"promoções","Como sei se a promoção é verdadeira?","Toda promoção válida aparece no visor da máquina e tem regras bem claras. Se tiver dúvida, não continue."
"promoções","Quero pagar menos, me ajuda com algum desconto?","Fica de olho nas promoções da tela! Às vezes, só por escolher um horário diferente, você já ganha desconto."
"promoções","Tem promoção pra quem compra várias vezes?","Sim! Em algumas campanhas, depois de um número de compras, você ganha crédito ou brinde."
"promoções","Essas promoções funcionam em todas as cidades?","Algumas sim, mas outras são regionais. A própria máquina mostra o que está valendo ali."
"promoções","Tem promoção escondida ou surpresa?","Às vezes sim! Algumas só aparecem após a escolha do produto. Fica atento ao visor!"
"promoções","Apareceu uma promoção, mas ela sumiu antes de eu pagar.","Algumas promoções têm tempo limitado para confirmação. Tente reiniciar o processo e veja se ela volta."
"promoções","Cliquei no combo, mas o desconto não foi aplicado.","Pode ter ocorrido falha no cálculo da promoção. Não finalize o pagamento e contate o suporte com os detalhes."
"promoções","Ganhei um brinde, mas ele não saiu junto com o refri.","Se a máquina não liberou o brinde prometido, registre o horário da compra e contate o suporte para compensação."
"promoções","Usei um cupom, mas o valor não diminuiu.","Verifique se o código estava válido e se foi digitado corretamente. Se o erro persistiu, envie o relato ao suporte."
"promoções","A promoção apareceu, mas travou a máquina.","Evite repetir toques. Aguarde alguns segundos. Se a tela não voltar, reinicie ou procure outra unidade."
"promoções","Fui premiado, mas a máquina não mostrou como resgatar.","Anote o horário e a mensagem que apareceu. O suporte pode ajudar você a recuperar o brinde ou crédito."
"promoções","O QR Code da promoção não escaneia.","Pode ser falha na imagem. Tente ajustar a distância ou contate o suporte solicitando o link da promoção."
"promoções","Tinha uma promoção e agora sumiu da tela.","Ela pode ter expirado ou alcançado o limite de uso. Tente novamente mais tarde ou verifique outra máquina."
"promoções","Ganhei refri grátis, mas não caiu nada.","Isso não deveria acontecer. Informe o ocorrido ao suporte com o horário e, se possível, o código da máquina."
"promoções","A máquina mostrou um desconto, mas cobrou o valor cheio.","Guarde o comprovante e entre em contato. Podemos analisar e reembolsar a diferença."
"promoções","Tentei inserir o cupom e deu erro de código inválido.","Verifique se o código é para aquela máquina específica ou se ainda está dentro da validade."
"promoções","A máquina congelou depois de ativar a promoção.","Reinicie o processo após alguns minutos. Se o problema persistir, evite nova tentativa e acione o suporte."
"promoções","Fiz a compra achando que teria brinde, mas não apareceu.","Algumas promoções têm requisitos mínimos. Confira os detalhes na tela antes de confirmar a compra."
"promoções","Recebi mensagem com código, mas a máquina não aceita.","Verifique se o cupom corresponde ao modelo de máquina. Em caso de falha, registre e envie ao suporte."
"promoções","Apareceu promoção, mas a tela travou no meio.","Evite continuar o processo. Espere reiniciar ou reporte o erro com print ou descrição da tela."
"promoções","Cliquei na promoção errada. Posso voltar?","Sim. Antes do pagamento, você pode cancelar e recomeçar a compra normalmente."
"promoções","O botão da promoção não funciona.","Pode ser falha temporária no visor. Reinicie o processo e, se continuar, procure outra máquina."
"promoções","Apareceu 'cupom expirado', mas era de hoje.","Confirme a hora de expiração. Se estiver dentro do prazo, envie o erro ao suporte com imagem da mensagem."
"promoções","A promoção só apareceu depois que paguei.","Infelizmente, algumas promoções só se aplicam antes da confirmação. Fique atento ao menu inicial."
"promoções","Ganhei um sorteio, mas a máquina não liberou nada.","Relate ao suporte com horário, local e, se possível, foto da tela no momento da mensagem."
"promoções","O visor disse que ganhei crédito, mas não aplicou.","Verifique se o crédito foi armazenado para próxima compra. Se não, contate o suporte."
"promoções","A máquina ficou sem resposta depois de eu ativar o cupom.","Erro de sistema. Espere alguns minutos. Se não voltar, não continue e acione o suporte."
"promoções","Usei um cupom de outra máquina, pode ser isso?","Sim. Alguns cupons são restritos por local. Tente verificar a origem da promoção antes de usar."
"promoções","Escolhi um combo e ele ficou em valor normal.","Esse erro pode ser causado por falha de configuração. Não finalize e contate o suporte com print da tela."
"promoções","Apareceu 'promoção encerrada' no meio da compra.","A oferta pode ter atingido o limite. Reinicie a máquina e veja se outra promoção está disponível."
"promoções","A promoção desapareceu assim que escolhi o sabor.","Isso pode ocorrer se a promoção não inclui aquele sabor específico. Confira os produtos participantes."
